Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
SC1,07/08/15,Rangers,St Mirren,3,1,H,2,1,H,1.44,4.5,6.5,1.4,4,7,1.45,3.9,6,1.53,4.33,6,1.45,4.73,7.7,1.5,4.2,6.5,1.44,4.6,7.5,43,1.53,1.43,4.73,4.3,7.7,6.64,42,1.8,1.71,2.15,2.05,25,-1.25,2.04,1.97,1.89,1.82
SC1,08/08/15,Dumbarton,Hibernian,2,1,H,1,1,D,8,4.5,1.4,6.75,4,1.4,6,3.9,1.45,7.5,4.2,1.44,8.55,4.87,1.4,7,4.5,1.44,8,4.75,1.4,41,8.55,6.98,4.87,4.44,1.45,1.39,36,1.71,1.65,2.2,2.12,24,1.25,2.01,1.91,1.98,1.88
SC1,08/08/15,Morton,Falkirk,1,1,D,0,1,A,2.8,3.75,2.25,2.65,3.5,2.25,2.8,3.1,2.3,3,3.3,2.15,3.23,3.54,2.26,3,3.4,2.3,3.13,3.5,2.25,41,3.23,2.9,3.75,3.39,2.3,2.23,41,1.91,1.83,2.01,1.92,25,0.25,1.93,1.86,2.03,1.93
SC1,08/08/15,Queen of Sth,Alloa,3,1,H,3,0,H,1.57,4,5.5,1.6,3.75,4.5,1.6,3.6,4.8,1.55,3.8,5.5,1.57,4.21,6.17,1.65,4,5,1.6,4.1,5.5,41,1.67,1.57,4.21,3.85,6.17,5.16,36,1.84,1.75,2.05,1.99,23,-0.75,1.8,1.74,2.19,2.05
SC1,08/08/15,Raith Rvs,Livingston,3,0,H,2,0,H,2.15,3.3,3.4,1.95,3.4,3.3,2.1,3.2,3.1,2.1,3.3,3.1,2.22,3.54,3.32,2.25,3.4,3.1,2.2,3.5,3.25,41,2.25,2.12,3.6,3.37,3.4,3.13,41,1.93,1.84,1.98,1.9,18,-0.25,1.93,1.86,1.97,1.9
SC1,15/08/15,Falkirk,Raith Rvs,1,0,H,0,0,D,1.7,3.8,4.75,1.75,3.6,3.9,1.8,3.7,3.7,1.83,3.75,4,1.78,3.86,4.7,1.83,3.75,4,1.75,3.8,4.6,43,1.83,1.74,3.86,3.63,4.75,4.18,37,1.84,1.76,2.1,1.98,24,-0.5,1.81,1.74,2.15,2.07
SC1,15/08/15,Hibernian,Morton,1,0,H,0,0,D,1.3,5.5,8.5,1.28,5.25,7.5,1.3,4.4,8.5,1.33,5,9,1.35,5.25,9.67,1.33,5,9,1.33,5.2,9.5,43,1.35,1.31,5.5,4.91,9.67,8.25,37,1.7,1.65,2.21,2.13,26,-1.5,2.08,1.99,1.87,1.81
SC1,15/08/15,Livingston,Queen of Sth,0,1,A,0,0,D,3,3.75,2.15,3.25,3.4,1.95,3.2,3.3,2,3.2,3.4,2.2,3.31,3.57,2.21,3.2,3.4,2.2,3.2,3.5,2.2,43,3.31,3.11,3.75,3.37,2.24,2.11,36,1.88,1.78,2.1,1.95,23,0.5,1.73,1.68,2.25,2.16
SC1,15/08/15,St Mirren,Dumbarton,1,2,A,0,1,A,1.36,4.75,8,1.36,4.5,6.5,1.4,4,6.5,1.44,4.33,7,1.39,5.05,8.6,1.44,4.33,7,1.36,5,8.5,43,1.44,1.36,5.05,4.58,8.6,7.39,36,1.62,1.58,2.43,2.26,25,-1.25,1.92,1.83,2.06,1.98
SC1,16/08/15,Alloa,Rangers,1,5,A,1,4,A,8,6,1.3,6.5,5,1.33,7.5,4.2,1.35,7.5,5,1.4,8.9,5.07,1.38,7,5,1.4,8.5,5,1.36,43,9,7.52,6,4.81,1.4,1.34,36,1.65,1.59,2.4,2.24,23,1.25,2.06,2,1.85,1.8
SC1,21/08/15,Morton,St Mirren,0,0,D,0,0,D,2.9,3.8,2.2,3,3.5,2.05,3.3,3.2,2,2.9,3.75,2.2,3.14,3.58,2.31,3.3,3.5,2.1,3,3.5,2.3,39,3.3,2.98,3.8,3.39,2.31,2.18,39,1.88,1.79,2.08,1.96,19,0.25,1.92,1.84,2.05,1.94
SC1,22/08/15,Dumbarton,Queen of Sth,0,2,A,0,1,A,3.5,3.6,2,3.2,3.4,2,3.3,3.2,2,3.5,3.4,1.91,3.68,3.66,2.04,3.6,3.4,2.05,3.7,3.6,2,39,3.7,3.41,3.66,3.45,2.1,1.98,39,1.81,1.73,2.15,2.02,24,0.5,1.87,1.82,2.06,1.98
SC1,22/08/15,Livingston,Falkirk,1,2,A,0,1,A,3,3.6,2.2,3.1,3.3,2.05,3,3.3,2.1,3,3.2,2.2,3.3,3.47,2.25,3.1,3.3,2.3,3,3.5,2.3,39,3.3,3.01,3.6,3.33,2.34,2.19,39,1.93,1.84,1.98,1.9,23,0.25,1.95,1.84,2.02,1.95
SC1,22/08/15,Raith Rvs,Alloa,3,0,H,0,0,D,2,3.5,3.6,1.8,3.5,3.75,1.75,3.3,4.2,1.91,3.4,3.6,1.99,3.65,3.87,2,3.5,3.6,2,3.6,3.75,39,2,1.92,3.65,3.46,4.2,3.58,34,1.86,1.77,2.02,1.96,24,-0.5,2.01,1.93,1.95,1.86
SC1,23/08/15,Rangers,Hibernian,1,0,H,0,0,D,1.55,4,5.75,1.5,3.9,5.25,1.5,3.8,5.5,1.62,4.1,5,1.57,4.36,5.87,1.62,3.8,5.5,1.6,4.3,5.25,38,1.62,1.54,4.36,3.97,6,5.31,33,1.67,1.6,2.3,2.2,23,-1,2.07,1.98,1.87,1.82
SC1,28/08/15,Falkirk,Dumbarton,2,1,H,2,1,H,1.53,4.33,5.5,1.55,3.5,5.5,1.6,3.6,4.8,1.53,4.33,5.5,1.63,4.22,5.58,1.55,4,6,1.57,4.3,5.5,37,1.63,1.56,4.33,4.01,6,5.2,31,1.74,1.67,2.21,2.1,20,-1,2.06,1.98,1.86,1.79
SC1,29/08/15,Alloa,Morton,0,1,A,0,0,D,3.1,3.5,2.2,2.65,3.25,2.35,2.5,3.2,2.5,2.88,3.3,2.25,2.97,3.53,2.41,2.88,3.4,2.4,3.1,3.6,2.25,37,3.1,2.86,3.6,3.39,2.5,2.27,31,1.81,1.74,2.08,2,19,0,2.25,2.16,1.8,1.68
SC1,29/08/15,Hibernian,Raith Rvs,2,0,H,1,0,H,1.44,4,8,1.44,4.2,5.75,1.4,4,6.5,1.44,4.2,6,1.49,4.67,6.76,1.53,4,6.5,1.5,4.5,6.5,36,1.53,1.44,4.67,4.22,8,6.27,30,1.71,1.67,2.24,2.09,22,-1,1.84,1.78,2.08,2.02
SC1,29/08/15,St Mirren,Livingston,1,1,D,1,1,D,1.83,3.6,4.2,1.75,3.5,4,1.8,3.2,4,1.83,3.5,3.8,1.88,3.75,4.19,1.83,3.6,4.2,1.87,3.75,4,37,1.91,1.82,3.75,3.54,4.33,3.91,30,1.81,1.73,2.07,2.01,17,-0.75,2.17,2.1,1.77,1.71
SC1,30/08/15,Queen of Sth,Rangers,1,5,A,0,1,A,7,4.33,1.44,6,4.2,1.42,7.5,4.2,1.35,7,4,1.5,6.66,4.84,1.47,7,4.5,1.44,7,4.6,1.45,36,7.5,6.4,4.84,4.43,1.5,1.42,29,1.63,1.57,2.4,2.26,23,1.25,1.85,1.79,2.08,2.01
SC1,05/09/15,Dumbarton,Alloa,0,2,A,0,0,D,1.91,3.6,3.75,1.83,3.7,3.4,1.9,3.2,3.6,1.8,3.6,3.8,1.83,3.92,4.28,1.91,3.5,3.6,1.85,3.9,4,41,1.91,1.81,3.92,3.63,4.28,3.77,33,1.74,1.67,2.21,2.1,23,-0.5,1.87,1.82,2.07,1.98
SC1,05/09/15,Livingston,Morton,2,4,A,0,1,A,2.25,3.75,2.8,2.2,3.4,2.75,2.4,3.1,2.7,2.2,3.25,2.9,2.31,3.52,3.15,2.3,3.25,2.88,2.25,3.5,3.1,41,2.4,2.23,3.75,3.37,3.15,2.87,38,1.93,1.84,1.99,1.9,22,-0.25,2.02,1.95,1.91,1.85
SC1,05/09/15,Queen of Sth,St Mirren,0,2,A,0,2,A,1.91,3.5,4,1.87,3.25,3.7,2,3.2,3.3,1.91,3.3,3.6,1.91,3.64,4.24,2,3.4,3.4,1.95,3.6,3.9,41,2,1.91,3.64,3.42,4.24,3.66,33,1.98,1.84,1.96,1.89,20,-0.25,1.74,1.67,2.26,2.18
SC1,05/09/15,Rangers,Raith Rvs,5,0,H,2,0,H,1.14,8,15,1.14,6.75,11.5,1.17,5.7,12,1.17,7,15,1.17,8.58,15.93,1.17,6.5,13,1.15,8,17,41,1.17,1.14,8.58,6.94,18.21,14.44,31,1.45,1.39,3,2.78,25,-2,1.92,1.8,2.05,1.99
SC1,12/09/15,Hibernian,Alloa,3,0,H,1,0,H,1.22,6.5,11,1.17,5.5,13,1.2,5.2,11,1.22,6,13,1.24,6.56,14.58,1.25,5.5,13,1.2,6.5,15,35,1.26,1.19,6.56,5.78,15,12.84,25,1.62,1.55,2.51,2.32,22,-1.75,1.87,1.82,2.06,1.98
SC1,12/09/15,Morton,Dumbarton,0,0,D,0,0,D,2,3.4,3.75,1.95,3.4,3.25,2,3.3,3.2,2,3.3,3.6,2.06,3.65,3.69,2.05,3.4,3.6,2,3.6,3.6,36,2.09,1.98,3.65,3.39,3.75,3.46,31,1.91,1.83,2.02,1.92,22,-0.5,2.06,1.99,1.85,1.8
SC1,12/09/15,Raith Rvs,Queen of Sth,1,0,H,0,0,D,3.2,3.5,2.15,2.9,3.3,2.15,3,3.3,2.1,3,3.3,2.25,3.1,3.58,2.34,3,3.4,2.3,3.1,3.5,2.25,35,3.2,2.95,3.6,3.37,2.34,2.2,26,1.8,1.73,2.1,2.02,22,0.25,1.93,1.86,2.01,1.93
SC1,12/09/15,Rangers,Livingston,3,0,H,2,0,H,1.1,9,21,1.09,8,14.5,1.1,7,15,1.12,9.5,23,1.14,9.42,22.62,1.12,8,21,1.1,9.5,31,35,1.14,1.09,9.81,8.23,31,21.52,32,1.4,1.37,3,2.88,19,-2.25,1.76,1.73,2.17,2.1
