šport;država;liga;stavina;dan;polčas;tip;hc;tot;igralnaKvota;razlika;profit
Hockey;Mednarodni;Europe CF 3;1;1;0;2;NULL;NULL;2,05;0,061;1,05
Basketball;Mednarodni;World Int Fr;2;1;0;2;NULL;NULL;12,00;0,055;-1,00
soccer;Švedska;Sweden South;1;2;0;2;NULL;NULL;1,35;0,038;0,35
soccer;Nizozemska;Dutch 2;2;2;1;4;NULL;1,50;1,60;0,033;-1,00
soccer;Nizozemska;Dutch 2;1;2;0;2;NULL;NULL;2,90;0,058;-1,00
soccer;Nizozemska;Dutch 2;1;2;0;2;NULL;NULL;1,70;0,044;-1,00
soccer;Portugalska;Portuguese;2;2;0;4;NULL;2,50;1,47;0,032;-1,00
soccer;Islandija;Icelandic;2;2;1;4;NULL;1,50;1,60;0,05;0,60
Basketball;Mednarodni;World Int Fr;2;2;0;2;NULL;NULL;1,35;0,045;0,35
Basketball;Mednarodni;World Int Fr;1;3;0;2;NULL;NULL;3,30;0,04;-1,00
soccer;Ekvador;Ecuador A;2;3;0;4;NULL;2,50;1,65;0,042;-1,00
tennis;svet;M Manerb R1;1;3;0;2;0,00;NULL;1,65;0,031;0,65
tennis;svet;Winston R2;2;3;1;2;0,00;NULL;1,70;0,036;0,70
tennis;svet;Winston R2;2;3;0;2;1,50;NULL;1,40;0,044;0,40
soccer;Nemčija;Bundesliga 3;2;3;0;2;NULL;NULL;3,40;0,036;-1,00
soccer;Nemčija;Bundesliga 3;2;3;0;2;NULL;NULL;3,65;0,031;2,65
soccer;Mednarodni;Club Friendl;2;3;0;2;NULL;NULL;3,00;0,033;-1,00
soccer;Anglija;EngCarlingCu;1;3;0;2;NULL;NULL;2,85;0,033;-1,00
soccer;Anglija;EngCarlingCu;1;3;0;2;NULL;NULL;1,50;0,032;-1,00
soccer;Anglija;EngCarlingCu;2;3;0;2;NULL;NULL;3,60;0,037;-1,00
soccer;Anglija;EngCarlingCu;2;3;0;2;NULL;NULL;3,70;0,047;2,70
soccer;Anglija;EngCarlingCu;1;3;0;2;NULL;NULL;2,40;0,036;1,40
Basketball;Mednarodni;World Int Fr;2;4;0;2;NULL;NULL;1,50;0,038;-1,00
